name,company,year,Price,kms_driven,fuel_type
DatsunRediGO,Datsun,2017,235000,16000,Petrol
SkodaFabia1.2L,Skoda,2011,159500,38200,Diesel
HondaAmaze,Honda,2015,344999,22000,Petrol
HondaAmaze,Honda,2015,344999,22000,Petrol
RenaultDuster,Renault,2014,449999,50000,Diesel
MiniCooperS,Mini,2013,1891111,13500,Petrol
MahindraScorpioS4,Mahindra,2015,865000,30000,Diesel
MahindraScorpioVLX,Mahindra,2014,699000,50000,Diesel
MahindraQuantoC8,Mahindra,2013,375000,20000,Diesel
FordEcoSport,Ford,2017,489999,39000,Petrol
HondaBrio,Honda,2012,224999,30000,Petrol
VolkswagenVentoHighline,Volkswagen,2019,1200000,3600,Diesel
Hyundaii20Magna,Hyundai,2009,195000,32000,Petrol
ToyotaCorollaAltis,Toyota,2010,351000,38000,Diesel
HyundaiVernaTransform,Hyundai,2008,160000,45000,Petrol
ToyotaCorollaAltis,Toyota,2009,240000,35000,Petrol
HondaCity1.5,Honda,2005,90000,50000,Petrol
HyundaiElitei20,Hyundai,2014,415000,32000,Petrol
SkodaFabia1.2L,Skoda,2011,155000,45863,Diesel
BMW3Series,BMW,2011,600000,60500,Petrol
MarutiSuzukiA,Maruti,2011,189500,12500,Petrol
ToyotaEtiosGD,Toyota,2013,350000,60000,Diesel
FordFigoDiesel,Ford,2012,210000,35000,Diesel
MarutiSuzukiSwift,Maruti,2014,390000,35000,Petrol
ChevroletBeatLT,Chevrolet,2012,135000,45000,Diesel
BMW7Series,BMW,2009,1600000,35000,Petrol
MahindraXUV500W8,Mahindra,2013,701000,38000,Diesel
Hyundaii10Magna,Hyundai,2014,265000,18000,Petrol
HyundaiVernaFluidic,Hyundai,2015,525000,35000,Diesel
MarutiSuzukiSwift,Maruti,2013,372000,13349,Petrol
MarutiSuzukiErtiga,Maruti,2016,635000,29000,Petrol
FordEcoSportTitanium,Ford,2014,550000,44000,Diesel
MarutiSuzukiErtiga,Maruti,2016,575000,29000,Petrol
MarutiSuzukiErtiga,Maruti,2013,485000,42000,Diesel
MarutiSuzukiAlto,Maruti,2012,155000,14000,Petrol
HyundaiGrandi10,Hyundai,2014,345000,49000,Diesel
HondaAmaze1.2,Honda,2014,325000,42000,Petrol
Hyundaii20Asta,Hyundai,2012,329500,36200,Diesel
FordFigoDiesel,Ford,2014,195000,50000,Diesel
MarutiSuzukiEeco,Maruti,2015,251111,55000,Petrol
MarutiSuzukiErtiga,Maruti,2014,569999,45000,Petrol
MarutiSuzukiEsteem,Maruti,2007,69999,51000,Petrol
MarutiSuzukiRitz,Maruti,2014,299999,19000,Petrol
MarutiSuzukiDzire,Maruti,2009,220000,46000,Petrol
MarutiSuzukiRitz,Maruti,2013,399999,33000,Diesel
MarutiSuzukiSwift,Maruti,2013,372000,13349,Petrol
MarutiSuzukiDzire,Maruti,2015,450000,104000,Diesel
ToyotaEtiosLiva,Toyota,2014,270000,55000,Petrol
Hyundaii20Sportz,Hyundai,2011,350000,33333,Diesel
ChevroletSpark,Chevrolet,2012,158400,33600,Petrol
MarutiSuzukiAlto,Maruti,2017,350000,5600,Petrol
NissanMicraXV,Nissan,2011,179000,41000,Petrol
MarutiSuzukiSwift,Maruti,2007,125000,70000,Petrol
MarutiSuzukiAlto,Maruti,2018,200000,7500,Petrol
HondaAmaze1.5,Honda,2013,299000,45000,Diesel
MarutiSuzukiAlto,Maruti,2015,220000,38000,Petrol
ChevroletBeat,Chevrolet,2015,150000,30000,Petrol
HondaCity1.5,Honda,2010,285000,35000,Petrol
FordEcoSportTrend,Ford,2016,830000,24330,Diesel
Hyundaii20Asta,Hyundai,2009,210000,65480,Petrol
MarutiSuzukiSwift,Maruti,2013,340000,41000,Petrol
TataIndicaV2,Tata,2006,90000,20000,Petrol
HindustanMotorsAmbassador,Hindustan,2000,70000,200000,Diesel
ToyotaCorollaAltis,Toyota,2010,289999,70000,Petrol
ToyotaCorollaAltis,Toyota,2012,349999,59000,Petrol
ToyotaInnova2.5,Toyota,2012,849999,99000,Diesel
VolkswagenJettaHighline,Volkswagen,2014,749999,46000,Diesel
VolkswagenPoloComfortline,Volkswagen,2015,399999,2800,Petrol
VolkswagenPolo,Volkswagen,2014,274999,32000,Petrol
MahindraScorpio,Mahindra,2015,984999,22000,Diesel
RenaultDuster,Renault,2014,449999,50000,Diesel
HondaAmaze,Honda,2015,344999,22000,Petrol
NissanSunny,Nissan,2012,224999,45000,Petrol
HyundaiElitei20,Hyundai,2018,599999,21000,Petrol
RenaultKwid,Renault,2016,244999,11000,Petrol
RenaultDuster,Renault,2013,399999,41000,Diesel
FordEcoSport,Ford,2017,489999,39000,Petrol
RenaultDuster,Renault,2014,474999,50000,Diesel
MahindraScorpioVLX,Mahindra,2011,499999,66000,Diesel
MarutiSuzukiAlto,Maruti,2018,310000,3000,Petrol
ChevroletSparkLT,Chevrolet,2010,85000,45000,Petrol
DatsunRediGO,Datsun,2016,245000,7000,Petrol
MarutiSuzukiSwift,Maruti,2010,189500,38500,Diesel
FiatPuntoEmotion,Fiat,2012,169500,37200,Diesel
MarutiSuzukiSwift,Maruti,2010,159500,43200,Diesel
ToyotaEtiosGD,Toyota,2013,275000,24800,Petrol
Hyundaii20Sportz,Hyundai,2014,370000,60000,Diesel
Hyundaii10Sportz,Hyundai,2010,168000,45872,Petrol
ChevroletBeatLT,Chevrolet,2011,150000,40000,Diesel
ChevroletBeatLS,Chevrolet,2011,145000,45000,Diesel
ChevroletBeatLT,Chevrolet,2012,98500,38000,Diesel
MahindraScorpioVLX,Mahindra,2014,699000,50000,Diesel
TataIndigoCS,Tata,2011,85000,11400,Diesel
ToyotaCorollaAltis,Toyota,2015,575000,42000,Petrol
HondaCity1.5,Honda,2014,549000,39000,Petrol
MarutiSuzukiSwift,Maruti,2011,209000,47000,Diesel
HyundaiEonEra,Hyundai,2013,185000,27000,Petrol
MahindraScorpioS10,Mahindra,2015,900000,97200,Diesel
MahindraXUV500,Mahindra,2014,699999,52000,Diesel
HondaBrio,Honda,2012,224999,30000,Petrol
FordFiesta,Ford,2011,274999,55000,Diesel
HondaAmaze,Honda,2013,284999,46000,Diesel
HondaCity,Honda,2015,599999,30000,Diesel
MarutiSuzukiWagon,Maruti,2012,199999,44000,Petrol
HondaCity,Honda,2014,544999,45000,Diesel
Hyundaii20,Hyundai,2009,199000,31000,Petrol
TataIndigoeCS,Tata,2016,320000,175430,Diesel
HyundaiFluidicVerna,Hyundai,2015,540000,38000,Diesel
MahindraQuantoC8,Mahindra,2013,340000,37000,Diesel
FiatPetraELX,Fiat,2008,75000,65000,Petrol
SkodaFabia1.2L,Skoda,2011,159500,38200,Diesel
MiniCooperS,Mini,2013,1891111,13000,Petrol
HyundaiSantroXing,Hyundai,2005,49000,7500,Petrol
MarutiSuzukiCiaz,Maruti,2016,700000,3350,Petrol
MarutiSuzukiZen,Maruti,2000,55000,60000,Petrol
HondaCity,Honda,2015,448999,54000,Petrol
HyundaiCreta1.6,Hyundai,2017,895000,32000,Petrol
MahindraScorpioSLX,Mahindra,2007,355000,75000,Diesel
MahindraScorpioSLE,Mahindra,2012,565000,62000,Diesel
ToyotaInnova2.5,Toyota,2006,365000,73000,Diesel
MarutiSuzukiAlto,Maruti,2011,145000,41000,Petrol
MarutiSuzukiWagon,Maruti,2011,210000,35000,Petrol
TataNanoCx,Tata,2013,40000,2200,Petrol
MarutiSuzukiAlto,Maruti,2013,125000,39000,Petrol
MarutiSuzukiWagon,Maruti,2009,135000,45000,Petrol
MarutiSuzukiSwift,Maruti,2006,135000,45000,Petrol
TataSumoVicta,Tata,2012,285000,65000,Diesel
MarutiSuzukiWagon,Maruti,2010,145000,54870,Petrol
MarutiSuzukiAlto,Maruti,2010,135000,34580,Petrol
VolkswagenPassatDiesel,Volkswagen,2009,450000,97000,Diesel
RenaultScalaRxL,Renault,2015,375000,25000,Diesel
MahindraQuantoC8,Mahindra,2013,375000,20000,Diesel
HyundaiGrandi10,Hyundai,2014,365000,20000,Petrol
Hyundaii20Active,Hyundai,2015,500000,18000,Petrol
MahindraXyloE4,Mahindra,2012,400000,35000,Diesel
MahindraJeepMM,Mahindra,2019,390000,60,Diesel
RenaultDuster110PS,Renault,2012,501000,35000,Diesel
MahindraBoleroSLE,Mahindra,2013,330000,80200,Diesel
ForceMotorsForce,Force,2015,580000,3200,Diesel
MarutiSuzukiSX4,Maruti,2012,265000,46000,Diesel
MahindraJeepCL550,Mahindra,2019,379000,0,Diesel
MarutiSuzukiAlto,Maruti,2015,219000,5000,Petrol
MahindraJeepCL550,Mahindra,2018,385000,588,Diesel
ToyotaEtios,Toyota,2011,275000,36000,Diesel
VolkswagenPolo,Volkswagen,2015,330000,38000,Diesel
HondaCityZX,Honda,2008,110000,45000,Petrol
MarutiSuzukiWagon,Maruti,2006,80000,71200,Petrol
HondaCityVX,Honda,2016,519000,52000,Diesel
MahindraTharCRDe,Mahindra,2016,730000,29000,Diesel
MitsubishiPajeroSport,Mitsubishi,2015,1475000,47000,Diesel
AudiA41.8,Audi,2009,699000,47000,Petrol
MercedesBenzGLA,Mercedes,2015,2000000,20000,Diesel
LandRoverFreelander,Land,2015,2100000,30000,Diesel
RenaultKwidRXT,Renault,2017,340000,5000,Petrol
TataAriaPleasure,Tata,2014,390000,35000,Diesel
MercedesBenzB,Mercedes,2014,1400000,31000,Petrol
DatsunGOT,Datsun,2016,245000,7000,Petrol
TataIndigoeCS,Tata,2016,320000,175430,Diesel
TataIndigoeCS,Tata,2016,320000,175400,Diesel
HondaJazzVX,Honda,2016,450000,41000,Petrol
HondaAmaze1.2,Honda,2014,311000,33000,Petrol
HondaAmaze,Honda,2013,284999,46000,Diesel
HondaCity,Honda,2012,399999,45000,Petrol
HondaCity,Honda,2015,599999,39000,Diesel
HondaAmaze,Honda,2015,344999,22000,Petrol
AudiA41.8,Audi,2009,699000,47000,Petrol
ForceMotorsForce,Force,2015,580000,3200,Diesel
MahindraScorpioS4,Mahindra,2015,855000,30000,Diesel
Hyundaii20Active,Hyundai,2015,535000,37000,Diesel
MiniCooperS,Mini,2013,1891111,13000,Petrol
MarutiSuzukiCiaz,Maruti,2017,699000,14000,Petrol
ChevroletTaveraNeo,Chevrolet,2013,375000,55000,Diesel
HondaAmaze,Honda,2013,284999,46000,Diesel
HyundaiEonSportz,Hyundai,2012,178000,30000,Petrol
TataSumoGold,Tata,2013,300000,50000,Diesel
MarutiSuzukiWagon,Maruti,2003,90000,45000,Petrol
MarutiSuzukiEsteem,Maruti,2006,95000,45000,Petrol
MarutiSuzukiEeco,Maruti,2015,255000,9300,Petrol
ChevroletEnjoy1.4,Chevrolet,2013,245000,55000,Diesel
Hyundaii20Asta,Hyundai,2012,329500,36200,Diesel
FordFigoDiesel,Ford,2014,195000,50000,Diesel
MarutiSuzukiEeco,Maruti,2015,251111,55000,Petrol
MarutiSuzukiErtiga,Maruti,2014,569999,45000,Petrol
MarutiSuzukiEsteem,Maruti,2007,69999,51000,Petrol
MarutiSuzukiRitz,Maruti,2014,299999,19000,Petrol
MarutiSuzukiDzire,Maruti,2009,220000,46000,Petrol
MarutiSuzukiRitz,Maruti,2013,399999,33000,Diesel
MarutiSuzukiSX4,Maruti,2010,249999,36000,Petrol
MarutiSuzukiWagon,Maruti,2015,289999,22000,Petrol
MiniCooperS,Mini,2013,1891111,13500,Petrol
NissanTerranoXL,Nissan,2015,499999,60000,Diesel
RenaultDuster85,Renault,2013,489999,27000,Diesel
RenaultDuster85,Renault,2014,489999,59000,Diesel
RenaultDuster85,Renault,2015,549999,19000,Diesel
MarutiSuzukiDzire,Maruti,2013,380000,30000,Petrol
RenaultKwidRXT,Renault,2018,325000,15000,Petrol
MarutiSuzukiMaruti,Maruti,2003,57000,56758,Petrol
RenaultKwid1.0,Renault,2018,349999,10000,Petrol
RenaultLodgy85,Renault,2018,689999,20000,Diesel
RenaultScalaRxL,Renault,2014,349999,49000,Diesel
HyundaiGrandi10,Hyundai,2014,410000,41000,Petrol
MarutiSuzukiSwift,Maruti,2011,225000,45000,Petrol
ChevroletBeatLS,Chevrolet,2010,120000,43000,Petrol
TataIndigoeCS,Tata,2016,320000,175430,Diesel
HyundaiSantroXing,Hyundai,2000,59000,56450,Petrol
HyundaiFluidicVerna,Hyundai,2015,540000,38000,Diesel
ChevroletBeatLS,Chevrolet,2010,80000,56000,Petrol
MahindraQuantoC8,Mahindra,2013,340000,37000,Diesel
FiatPetraELX,Fiat,2008,75000,65000,Petrol
ChevroletBeatLS,Chevrolet,2015,220000,32700,Petrol
SkodaFabia1.2L,Skoda,2011,159500,38200,Diesel
FordEcoSportTitanium,Ford,2016,599000,30000,Diesel
HyundaiAccentGLX,Hyundai,2006,80000,56000,Petrol
MahindraTUV300T4,Mahindra,2016,675000,9000,Diesel
MiniCooperS,Mini,2013,1891111,13000,Petrol
MiniCooperS,Mini,2013,1891111,13000,Petrol
TataIndicaV2,Tata,2008,150000,11000,Petrol
MiniCooperS,Mini,2013,1891111,13000,Petrol
TataIndigoCS,Tata,2009,72500,46000,Diesel
MarutiSuzukiSwift,Maruti,2019,610000,73,Petrol
MahindraScorpioVLX,Mahindra,2004,230000,160000,Diesel
HondaAccord,Honda,2009,175000,58559,Petrol
MahindraScorpioS4,Mahindra,2015,855000,30000,Diesel
ChevroletTaveraNeo,Chevrolet,2013,375000,55000,Diesel
FordEcoSportTitanium,Ford,2014,520000,57000,Diesel
MarutiSuzukiErtiga,Maruti,2015,524999,50000,Diesel
HondaAmaze,Honda,2014,299999,37000,Petrol
MarutiSuzukiDzire,Maruti,2012,299999,40000,Petrol
HondaCity,Honda,2011,284999,55000,Petrol
MahindraScorpio2.6,Mahindra,2007,220000,170000,Diesel
MarutiSuzukiDzire,Maruti,2014,424999,55000,Diesel
HondaCity,Honda,2015,644999,39000,Petrol
HondaMobilio,Honda,2014,399999,44000,Petrol
ToyotaCorollaAltis,Toyota,2009,199999,65000,Petrol
HondaCity,Honda,2014,584999,39000,Petrol
SkodaLaura,Skoda,2012,349999,44000,Diesel
RenaultDuster,Renault,2015,449999,49000,Diesel
MarutiSuzukiErtiga,Maruti,2018,799999,9000,Diesel
MarutiSuzukiDzire,Maruti,2015,444999,45000,Diesel
MahindraXUV500,Mahindra,2014,649999,47000,Diesel
HyundaiVernaFluidic,Hyundai,2012,444999,40000,Diesel
MarutiSuzukiVitara,Maruti,2016,689999,29000,Diesel
MarutiSuzukiWagon,Maruti,2016,344999,15000,Petrol
MahindraScorpio,Mahindra,2015,944999,45000,Diesel
HondaAmaze,Honda,2014,274999,35000,Petrol
MahindraXUV500,Mahindra,2013,689999,80000,Diesel
MahindraScorpio,Mahindra,2013,574999,68000,Diesel
SkodaLaura,Skoda,2013,374999,50000,Diesel
VolkswagenPolo,Volkswagen,2010,199999,60000,Diesel
HyundaiElitei20,Hyundai,2016,549999,9000,Petrol
TataManzaAura,Tata,2012,130000,72000,Diesel
ChevroletSailUVA,Chevrolet,2013,210000,60000,Petrol
RenaultDuster110,Renault,2012,501000,38000,Diesel
HyundaiVernaFluidic,Hyundai,2013,401000,45000,Diesel
AudiA42.0,Audi,2012,1350000,40000,Diesel
HyundaiElantraSX,Hyundai,2013,600000,20000,Petrol
MahindraScorpioVLX,Mahindra,2013,610000,35000,Diesel
MahindraKUV100K8,Mahindra,2016,400000,20000,Diesel
RenaultScalaRxL,Renault,2015,375000,25000,Diesel
MahindraQuantoC8,Mahindra,2013,375000,20000,Diesel
HyundaiGrandi10,Hyundai,2014,365000,20000,Petrol
Hyundaii20Active,Hyundai,2015,500000,18000,Petrol
MahindraXyloE4,Mahindra,2012,400000,35000,Diesel
HyundaiGrandi10,Hyundai,2017,524999,6821,Petrol
Hyundaii20,Hyundai,2014,449999,23000,Petrol
HyundaiEon,Hyundai,2014,174999,14000,Petrol
Hyundaii10,Hyundai,2012,244999,38000,Petrol
Hyundaii20Active,Hyundai,2015,574999,35000,Diesel
DatsunRediGO,Datsun,2017,244999,22000,Petrol
ToyotaEtiosLiva,Toyota,2011,239999,41000,Petrol
HyundaiAccent,Hyundai,2010,99999,45000,Petrol
HyundaiVerna,Hyundai,2014,489999,44000,Diesel
MarutiSuzukiSwift,Maruti,2013,324999,45000,Diesel
ToyotaFortuner,Toyota,2011,1074999,52000,Diesel
Hyundaii10Sportz,Hyundai,2012,230000,34000,Petrol
MahindraBoleroPower,Mahindra,2018,699000,1800,Diesel
MahindraXUV500,Mahindra,2015,1000000,15000,Diesel
HondaCity1.5,Honda,2010,240000,400000,Petrol
ChevroletSparkLT,Chevrolet,2009,110000,44000,Petrol
MahindraJeepMM,Mahindra,2019,390000,60,Diesel
RenaultDuster110PS,Renault,2012,501000,35000,Diesel
MahindraXUV500,Mahindra,2016,1130000,72000,Diesel
TataIndigoeCS,Tata,2014,250000,40000,Diesel
MahindraBoleroSLE,Mahindra,2013,330000,80200,Diesel
ForceMotorsForce,Force,2015,580000,3200,Diesel
SkodaRapidElegance,Skoda,2013,340000,48000,Diesel
TataVistaQuadrajet,Tata,2011,120000,90000,Diesel
MarutiSuzukiAlto,Maruti,2015,265000,12000,Petrol
MarutiSuzukiSX4,Maruti,2012,265000,46000,Diesel
MarutiSuzukiZen,Maruti,2003,85000,69900,Petrol
MahindraJeepCL550,Mahindra,2019,379000,0,Diesel
Hyundaii10Magna,Hyundai,2011,175000,45000,Petrol
MarutiSuzukiAlto,Maruti,2015,219000,5000,Petrol
MarutiSuzukiSwift,Maruti,2016,350000,166000,Diesel
HondaCityZX,Honda,2008,149000,42000,Petrol
MahindraJeepCL550,Mahindra,2018,385000,588,Diesel
MahindraJeepMM,Mahindra,2006,425000,122,Diesel
ChevroletBeatDiesel,Chevrolet,2017,150000,62000,Diesel
HondaCity1.5,Honda,2010,225000,70000,Petrol
HyundaiVerna1.4,Hyundai,2014,375000,36000,Petrol
ToyotaInnova2.5,Toyota,2012,770000,0,Diesel
MarutiSuzukiMaruti,Maruti,1995,30000,55000,Petrol
ToyotaEtios,Toyota,2011,275000,36000,Diesel
VolkswagenPolo,Volkswagen,2015,330000,38000,Diesel
MarutiSuzukiSwift,Maruti,2014,335000,55000,Diesel
HyundaiElitei20,Hyundai,2015,450000,20000,Diesel
MarutiSuzukiSwift,Maruti,2012,225000,40000,Petrol
MarutiSuzukiVersa,Maruti,2004,80000,50000,Petrol
TataIndigoLX,Tata,2016,130000,104000,Diesel
VolkswagenVentoKonekt,Volkswagen,2011,245000,65000,Diesel
MercedesBenzC,Mercedes,2002,399000,41000,Petrol
MarutiSuzukiErtiga,Maruti,2013,450000,90000,Diesel
HondaCity,Honda,2000,65000,80000,Petrol
HyundaiSantroXing,Hyundai,2006,75000,46000,Petrol
MarutiSuzukiOmni,Maruti,2001,70000,70000,Petrol
HyundaiSonataTransform,Hyundai,2017,190000,36469,Diesel
HyundaiElitei20,Hyundai,2018,600000,7800,Petrol
VolkswagenVentoKonekt,Volkswagen,2011,245000,65000,Diesel
MarutiSuzukiAlto,Maruti,2017,240000,60000,Petrol
MarutiSuzukiAlto,Maruti,2011,155000,32000,Petrol
HondaJazzS,Honda,2009,169999,24695,Petrol
HyundaiGrandi10,Hyundai,2017,450000,15141,Petrol
MarutiSuzukiZen,Maruti,2001,40000,40000,Petrol
MahindraScorpioW,Mahindra,2012,165000,65000,Diesel
MarutiSuzukiAlto,Maruti,2014,270000,22000,Petrol
HyundaiGrandi10,Hyundai,2016,280000,59910,Diesel
MahindraXUV500W8,Mahindra,2012,560000,100000,Diesel
HyundaiCreta1.6,Hyundai,2016,950000,25000,Petrol
Hyundaii20Magna,Hyundai,2013,310000,35000,Petrol
RenaultDuster85,Renault,2015,715000,65000,Diesel
HyundaiGrandi10,Hyundai,2014,340000,35000,Petrol
HondaBrioV,Honda,2012,235000,33000,Petrol
MahindraTUV300T4,Mahindra,2017,610000,68000,Diesel
ChevroletSparkLS,Chevrolet,2010,95000,23000,Petrol
MahindraTUV300T8,Mahindra,2018,1000000,4500,Diesel
MarutiSuzukiSwift,Maruti,2015,220000,129000,Diesel
NissanXTrail,Nissan,2019,1200000,300,Diesel
MarutiSuzukiAlto,Maruti,2015,230000,5000,Petrol
FordIkon1.3,Ford,2001,45000,65000,Petrol
ToyotaFortuner3.0,Toyota,2010,940000,131000,Diesel
TataManzaELAN,Tata,2010,155555,111111,Petrol
MercedesBenzA,Mercedes,2013,1500000,14000,Petrol
ChevroletBeatLS,Chevrolet,2016,210000,22000,Diesel
FordEcoSportTrend,Ford,2013,495000,38000,Diesel
TataIndigoLS,Tata,2016,125000,70000,Diesel
Hyundaii20Magna,Hyundai,2010,195000,36000,Petrol
VolkswagenVentoHighline,Volkswagen,2015,550000,34000,Diesel
RenaultKwidRXT,Renault,2015,270000,43000,Petrol
FordEcoSportTitanium,Ford,2014,500000,40000,Diesel
HondaAmaze1.5,Honda,2016,240000,160000,Diesel
HyundaiVerna1.6,Hyundai,2017,800000,12000,Petrol
BMW5Series,BMW,2011,1299000,49000,Diesel
SkodaSuperb1.8,Skoda,2011,530000,68000,Petrol
AudiQ32.0,Audi,2013,1499000,37000,Diesel
MahindraBoleroDI,Mahindra,2012,220000,59466,Diesel
MahindraScorpioS10,Mahindra,2015,900000,97200,Diesel
FordFigoDuratorq,Ford,2012,250000,99000,Diesel
MarutiSuzukiWagon,Maruti,2018,395000,25500,Petrol
MahindraLoganDiesel,Mahindra,2009,130000,66000,Petrol
TataNanoGenX,Tata,2010,32000,44005,Petrol
MahindraTUV300T4,Mahindra,2016,540000,35000,Diesel
MahindraTUV300T4,Mahindra,2016,540000,35000,Diesel
HyundaiElitei20,Hyundai,2015,405000,28000,Petrol
HyundaiElitei20,Hyundai,2015,400000,30000,Petrol
HondaCitySV,Honda,2017,760000,4000,Petrol
MarutiSuzukiBaleno,Maruti,2016,500000,28000,Petrol
FordFigoPetrol,Ford,2011,175000,75000,Petrol
MahindraScorpioS10,Mahindra,2015,900000,97200,Diesel
HondaCity,Honda,2017,750000,3000,Petrol
HyundaiElitei20,Hyundai,2015,419000,20000,Petrol
MarutiSuzukiVersa,Maruti,2004,90000,50000,Petrol
HyundaiEonEra,Hyundai,2018,140000,2110,Petrol
MitsubishiPajeroSport,Mitsubishi,2015,1540000,43222,Petrol
Hyundaii10Magna,Hyundai,2008,275000,100200,Petrol
ToyotaCorollaH2,Toyota,2003,150000,100000,Petrol
MarutiSuzukiSwift,Maruti,2011,230000,65,Petrol
TataIndigoCS,Tata,2015,123000,100000,Diesel
MahindraScorpioS10,Mahindra,2015,900000,97200,Diesel
MahindraScorpioS10,Mahindra,2015,900000,97200,Diesel
HyundaiXcentBase,Hyundai,2016,300000,140000,Diesel
HondaCity,Honda,2015,499999,55000,Petrol
HyundaiAccentExecutive,Hyundai,2009,165000,48000,Petrol
MarutiSuzukiBaleno,Maruti,2016,498000,22000,Petrol
TataZestXE,Tata,2018,480000,103553,Diesel
MarutiSuzukiDzire,Maruti,2017,488000,80000,Diesel
TataSumoGold,Tata,2014,250000,99000,Diesel
ToyotaCorollaAltis,Toyota,2010,220000,58000,Petrol
MarutiSuzukiEeco,Maruti,2013,290000,70000,LPG
ToyotaFortuner3.0,Toyota,2015,1525000,120000,Diesel
MahindraXUV500W6,Mahindra,2013,548900,49800,Diesel
TataTigorRevotron,Tata,2019,650000,100,Diesel
MarutiSuzuki800,Maruti,2001,55000,81876,Petrol
MarutiSuzukiErtiga,Maruti,2015,550000,75000,Petrol
